,name,start,end,times_in_market,avg_rtn,total_profit,cagr,mdd,sortino,worst_rtn
0,return,180101,221104,100.0,0.09 / 2.31 / -2.32,49.24,8.617,-86.81,0.55,"[-40.72, -36.26, -35.59, -35.1, -34.87]"
1,return,180101,211231,100.0,0.14 / 2.42 / -2.39,194.52,31.003,-86.81,0.88,"[-40.72, -36.26, -35.59, -35.1, -24.82]"
2,return,220101,221104,100.0,-0.18 / 1.73 / -1.99,-49.33,-55.436,-56.67,-1.34,"[-34.87, -18.99, -16.76, -10.96, -10.47]"
3,base,180101,221104,34.0,0.29 / 2.25 / -1.54,341.47,35.875,-47.81,1.7,"[-15.88, -15.84, -14.64, -14.43, -10.64]"
4,base,180101,211231,34.0,0.45 / 2.25 / -1.46,636.88,64.759,-19.74,2.84,"[-14.43, -6.44, -6.04, -5.85, -5.83]"
5,base,220101,221104,34.0,-0.46 / 2.18 / -1.85,-40.09,-45.616,-41.64,-2.11,"[-15.88, -15.84, -14.64, -10.64, -6.46]"
6,base_SL0.05,180101,221104,70.0,0.19 / 1.98 / -1.57,585.85,48.812,-48.64,1.72,"[-19.4, -11.82, -11.74, -10.95, -10.54]"
7,base_SL0.05,180101,211231,70.0,0.25 / 2.01 / -1.56,865.62,76.28,-37.67,2.37,"[-10.95, -10.54, -10.45, -9.46, -9.41]"
8,base_SL0.05,220101,221104,69.0,-0.14 / 1.82 / -1.61,-28.97,-33.419,-42.56,-1.16,"[-19.4, -11.82, -11.74, -8.18, -4.3]"
9,base_SL0.1,180101,221104,85.0,0.19 / 2.13 / -1.87,771.15,56.344,-58.06,1.5,"[-17.71, -16.62, -16.56, -15.14, -14.89]"
10,base_SL0.1,180101,211231,84.0,0.25 / 2.20 / -1.91,1166.59,88.651,-58.06,1.99,"[-17.71, -16.62, -16.56, -14.89, -14.81]"
11,base_SL0.1,220101,221104,86.0,-0.11 / 1.78 / -1.71,-31.22,-35.916,-39.77,-0.93,"[-15.14, -13.65, -11.56, -10.21, -8.75]"
12,Con0.05_SL0.05,180101,221104,39.0,0.22 / 1.84 / -1.48,264.61,30.613,-26.23,1.57,"[-10.67, -10.12, -8.89, -8.12, -7.68]"
13,Con0.05_SL0.05,180101,211231,39.0,0.27 / 1.86 / -1.47,280.23,39.641,-24.93,1.96,"[-10.12, -8.12, -7.68, -7.42, -6.98]"
14,Con0.05_SL0.05,220101,221104,40.0,-0.01 / 1.74 / -1.52,-4.11,-4.866,-26.23,-0.07,"[-10.67, -8.89, -4.24, -2.03, -0.25]"
15,Con0.05_SL0.1,180101,221104,63.0,0.22 / 2.06 / -1.81,579.29,48.517,-47.35,1.49,"[-20.32, -17.61, -12.67, -11.23, -10.93]"
16,Con0.05_SL0.1,180101,211231,62.0,0.29 / 2.12 / -1.84,817.04,74.019,-46.64,1.99,"[-20.32, -12.67, -11.23, -10.64, -10.54]"
17,Con0.05_SL0.1,220101,221104,65.0,-0.12 / 1.71 / -1.68,-25.93,-30.009,-40.1,-0.84,"[-17.61, -10.93, -9.28, -8.5, -3.82]"
18,Con0.1_SL0.05,180101,221104,49.0,0.23 / 1.85 / -1.45,487.75,44.145,-39.05,1.94,"[-18.54, -8.76, -8.72, -8.59, -7.88]"
19,Con0.1_SL0.05,180101,211231,50.0,0.29 / 1.86 / -1.43,550.44,59.699,-23.89,2.49,"[-8.59, -7.88, -7.34, -5.64, -5.05]"
20,Con0.1_SL0.05,220101,221104,49.0,-0.04 / 1.81 / -1.54,-9.64,-11.351,-34.66,-0.33,"[-18.54, -8.76, -8.72, -3.75, -1.36]"
21,Con0.1_SL0.1,180101,221104,71.0,0.23 / 2.09 / -1.78,962.4,62.883,-46.41,1.73,"[-17.56, -13.76, -12.68, -10.99, -10.62]"
22,Con0.1_SL0.1,180101,211231,71.0,0.29 / 2.16 / -1.83,1193.29,89.637,-39.55,2.18,"[-13.76, -12.68, -10.99, -10.13, -10.1]"
23,Con0.1_SL0.1,220101,221104,72.0,-0.06 / 1.75 / -1.58,-17.85,-20.849,-37.17,-0.47,"[-17.56, -10.62, -9.89, -6.99, -3.69]"
24,Con0.2_SL0.05,180101,221104,58.0,0.20 / 1.95 / -1.50,479.34,43.716,-50.27,1.73,"[-17.54, -13.28, -11.2, -10.16, -9.22]"
25,Con0.2_SL0.05,180101,211231,58.0,0.27 / 1.98 / -1.49,683.5,67.305,-27.45,2.41,"[-11.2, -8.28, -7.33, -7.19, -7.03]"
26,Con0.2_SL0.05,220101,221104,58.0,-0.15 / 1.76 / -1.56,-26.06,-30.157,-40.92,-1.15,"[-17.54, -13.28, -10.16, -9.22, -5.5]"
27,Con0.2_SL0.1,180101,221104,78.0,0.20 / 2.09 / -1.83,796.11,57.258,-55.92,1.56,"[-22.77, -18.25, -17.49, -15.8, -13.15]"
28,Con0.2_SL0.1,180101,211231,77.0,0.27 / 2.15 / -1.86,1163.72,88.544,-45.56,2.07,"[-22.77, -18.25, -13.15, -11.99, -10.63]"
29,Con0.2_SL0.1,220101,221104,82.0,-0.11 / 1.73 / -1.69,-29.09,-33.549,-42.47,-0.87,"[-17.49, -15.8, -10.46, -10.14, -9.42]"
30,Con0.3_SL0.05,180101,221104,63.0,0.19 / 1.95 / -1.54,464.7,42.959,-48.21,1.64,"[-16.88, -15.04, -14.6, -11.01, -10.98]"
31,Con0.3_SL0.05,180101,211231,63.0,0.24 / 1.99 / -1.54,595.87,62.417,-33.97,2.15,"[-14.6, -11.01, -10.98, -9.19, -7.84]"
32,Con0.3_SL0.05,220101,221104,61.0,-0.09 / 1.76 / -1.55,-18.85,-21.989,-40.14,-0.73,"[-16.88, -15.04, -8.22, -7.86, -4.79]"
33,Con0.3_SL0.1,180101,221104,82.0,0.17 / 2.09 / -1.87,531.66,46.304,-52.36,1.33,"[-22.23, -17.69, -17.25, -15.56, -15.16]"
34,Con0.3_SL0.1,180101,211231,81.0,0.22 / 2.17 / -1.91,721.86,69.317,-49.56,1.71,"[-22.23, -17.69, -17.25, -15.56, -13.94]"
35,Con0.3_SL0.1,220101,221104,83.0,-0.07 / 1.71 / -1.67,-23.14,-26.872,-39.63,-0.61,"[-15.16, -14.49, -9.93, -9.51, -9.32]"
36,Con0.05_CE15/2,180101,221104,31.0,0.45 / 2.31 / -1.74,737.09,55.062,-25.97,2.34,"[-13.01, -7.58, -5.75, -5.53, -5.38]"
37,Con0.05_CE15/2,180101,211231,32.0,0.51 / 2.43 / -1.81,704.04,68.391,-25.97,2.65,"[-13.01, -7.58, -5.75, -5.53, -5.38]"
38,Con0.05_CE15/2,220101,221104,26.0,0.07 / 1.58 / -1.40,4.11,4.905,-10.27,0.42,"[-5.06, -1.88, -1.25, -0.02, 0.0]"
39,Con0.05_CE15/3,180101,221104,54.0,0.28 / 2.19 / -1.87,800.13,57.403,-48.26,1.72,"[-20.5, -15.2, -14.54, -14.18, -9.05]"
40,Con0.05_CE15/3,180101,211231,54.0,0.35 / 2.27 / -1.91,948.37,79.941,-48.26,2.13,"[-20.5, -15.2, -14.54, -14.18, -8.78]"
41,Con0.05_CE15/3,220101,221104,53.0,-0.07 / 1.71 / -1.68,-14.14,-16.578,-24.56,-0.45,"[-9.05, -7.61, -7.36, -2.89, -2.4]"
42,Con0.05_CE15/4,180101,221104,74.0,0.20 / 2.21 / -2.03,559.3,47.604,-61.74,1.28,"[-27.46, -26.51, -18.78, -17.57, -15.75]"
43,Con0.05_CE15/4,180101,211231,75.0,0.26 / 2.27 / -2.09,845.57,75.357,-61.74,1.68,"[-27.46, -26.51, -18.78, -17.57, -15.75]"
44,Con0.05_CE15/4,220101,221104,66.0,-0.15 / 1.82 / -1.77,-30.28,-34.867,-37.97,-0.99,"[-14.06, -14.02, -13.39, -8.07, -4.64]"
45,Con0.05_CE22/2,180101,221104,24.0,0.48 / 2.52 / -1.83,516.29,45.562,-29.35,2.12,"[-11.33, -7.76, -6.44, -5.81, -4.47]"
46,Con0.05_CE22/2,180101,211231,25.0,0.56 / 2.73 / -1.97,482.29,55.34,-29.35,2.33,"[-11.33, -7.76, -6.44, -5.81, -4.47]"
47,Con0.05_CE22/2,220101,221104,22.0,0.10 / 1.31 / -1.15,5.84,6.98,-7.37,0.66,"[-2.73, -1.98, -1.64, -1.28, -0.02]"
48,Con0.05_CE22/3,180101,221104,46.0,0.38 / 2.27 / -1.93,1319.73,72.93,-33.47,2.11,"[-13.18, -12.32, -9.42, -9.42, -7.18]"
49,Con0.05_CE22/3,180101,211231,48.0,0.45 / 2.37 / -2.01,1469.22,99.031,-33.47,2.51,"[-13.18, -12.32, -9.42, -7.18, -6.78]"
50,Con0.05_CE22/3,220101,221104,38.0,-0.06 / 1.57 / -1.54,-9.53,-11.221,-22.24,-0.38,"[-9.42, -4.93, -4.73, -1.57, -0.18]"
51,Con0.05_CE22/4,180101,221104,63.0,0.27 / 2.18 / -1.91,1079.0,66.422,-55.5,1.73,"[-27.99, -16.58, -13.87, -11.76, -10.34]"
52,Con0.05_CE22/4,180101,211231,66.0,0.34 / 2.25 / -1.98,1424.78,97.607,-55.5,2.16,"[-27.99, -16.58, -13.87, -11.76, -10.34]"
53,Con0.05_CE22/4,220101,221104,49.0,-0.15 / 1.61 / -1.53,-22.68,-26.345,-31.38,-0.93,"[-10.15, -9.95, -8.94, -5.84, -4.94]"
54,Con0.05_CE30/2,180101,221104,22.0,0.63 / 2.87 / -2.00,658.04,51.919,-47.97,2.03,"[-10.6, -7.32, -6.0, -4.85, -4.37]"
