tp,tv,ab,td,ttm
27982000,0.07141682,BID,2022-10-18,03:53:56
27982000,0.04699175,BID,2022-10-18,03:53:56
27982000,0.05597906,BID,2022-10-18,03:53:56
27980000,0.0002,ASK,2022-10-18,03:54:21
27980000,0.00029842,ASK,2022-10-18,03:54:26
27981000,0.005,BID,2022-10-18,03:54:27
27980000,3.763e-05,ASK,2022-10-18,03:54:27
27979000,0.10700553,ASK,2022-10-18,03:54:28
27980000,0.00142949,BID,2022-10-18,03:54:31
27980000,0.00021443,BID,2022-10-18,03:54:37
27979000,0.04511251,ASK,2022-10-18,03:54:37
27979000,0.00021443,ASK,2022-10-18,03:54:41
27980000,0.00451293,BID,2022-10-18,03:54:41
27981000,0.00084405,BID,2022-10-18,03:54:41
27980000,0.00179095,BID,2022-10-18,03:54:41
27981000,0.00063257,BID,2022-10-18,03:54:46
27981000,0.37030509,ASK,2022-10-18,03:55:37
27982000,0.02610105,BID,2022-10-18,03:55:37
27981000,0.03286284,ASK,2022-10-18,03:55:45
27981000,0.08664659,ASK,2022-10-18,03:55:46
27981000,0.00865558,ASK,2022-10-18,03:55:52
27981000,0.01826705,ASK,2022-10-18,03:55:55
27981000,0.0212,ASK,2022-10-18,03:55:58
27982000,0.06288086,BID,2022-10-18,03:56:01
27982000,0.01071581,BID,2022-10-18,03:56:16
27981000,0.00064329,ASK,2022-10-18,03:56:17
27981000,0.00357385,ASK,2022-10-18,03:56:17
27981000,0.07581057,ASK,2022-10-18,03:56:17
27981000,0.02140507,ASK,2022-10-18,03:56:17
27981000,0.00035738,BID,2022-10-18,03:56:20
27981000,0.07144135,BID,2022-10-18,03:56:23
27979000,0.00924211,ASK,2022-10-18,03:56:32
27979000,0.00433999,ASK,2022-10-18,03:56:32
27980000,0.01,ASK,2022-10-18,03:56:32
27980000,0.00072194,ASK,2022-10-18,03:56:32
27979000,0.0329,ASK,2022-10-18,03:56:34
27979000,0.02110962,ASK,2022-10-18,03:56:34
27979000,0.01281029,ASK,2022-10-18,03:56:36
27979000,0.01945422,ASK,2022-10-18,03:56:36
27979000,0.01273549,ASK,2022-10-18,03:56:36
27972000,0.00363995,ASK,2022-10-18,03:56:36
27979000,0.00357232,ASK,2022-10-18,03:56:36
27979000,0.02298773,ASK,2022-10-18,03:56:36
27972000,0.04333314,ASK,2022-10-18,03:56:37
27972000,0.00357372,ASK,2022-10-18,03:56:37
27972000,0.02309314,ASK,2022-10-18,03:56:37
27972000,0.01265689,ASK,2022-10-18,03:56:38
27972000,0.08734311,BID,2022-10-18,03:56:39
27979000,0.0237,ASK,2022-10-18,03:56:41
27979000,0.02145003,ASK,2022-10-18,03:56:47
27979000,0.01085578,ASK,2022-10-18,03:56:50
27981000,0.16074219,BID,2022-10-18,03:56:50
27979000,0.00432778,ASK,2022-10-18,03:56:51
27979000,0.06666267,ASK,2022-10-18,03:56:51
27979000,0.21090131,ASK,2022-10-18,03:56:51
27979000,0.01405537,ASK,2022-10-18,03:56:51
27979000,0.17873492,ASK,2022-10-18,03:56:54
27981000,0.0236035,BID,2022-10-18,03:56:55
27979000,0.0075,ASK,2022-10-18,03:56:58
27981000,0.25865431,BID,2022-10-18,03:57:02
27981000,0.0026436,BID,2022-10-18,03:57:02
27981000,1.46377431,ASK,2022-10-18,03:57:08
27981000,1,ASK,2022-10-18,03:57:13
27982000,0.0543711,BID,2022-10-18,03:57:21
27982000,0.06413647,BID,2022-10-18,03:57:21
27982000,0.17735644,BID,2022-10-18,03:57:21
27982000,0.01100227,BID,2022-10-18,03:57:21
27982000,0.0002,BID,2022-10-18,03:57:21
27982000,0.00071438,BID,2022-10-18,03:57:25
27981000,0.14908397,ASK,2022-10-18,03:57:32
27982000,0.02314409,BID,2022-10-18,03:57:35
27982000,0.00217353,BID,2022-10-18,03:57:40
27982000,0.00071438,BID,2022-10-18,03:57:40
27981000,0.01244316,ASK,2022-10-18,03:57:49
27981000,0.03580757,ASK,2022-10-18,03:57:50
27981000,0.0113709,ASK,2022-10-18,03:57:51
27981000,0.0123,ASK,2022-10-18,03:57:58
27981000,0.31424418,ASK,2022-10-18,03:58:02
27982000,0.00085228,BID,2022-10-18,03:58:07
27981000,0.35694849,ASK,2022-10-18,03:58:14
27981000,0.03021206,ASK,2022-10-18,03:58:17
27982000,0.00107075,BID,2022-10-18,03:58:19
27981000,0.01065236,ASK,2022-10-18,03:58:21
27981000,0.03579107,ASK,2022-10-18,03:58:21
27982000,0.00357193,BID,2022-10-18,03:58:22
27981000,0.00357386,ASK,2022-10-18,03:58:29
27981000,0.0017882,ASK,2022-10-18,03:58:30
27981000,0.07903321,ASK,2022-10-18,03:58:32
27981000,0.25890997,ASK,2022-10-18,03:58:39
27981000,0.10036356,ASK,2022-10-18,03:58:40
27981000,0.00071477,ASK,2022-10-18,03:58:44
27981000,0.00550114,ASK,2022-10-18,03:58:48
27981000,0.0045155,ASK,2022-10-18,03:58:50
27981000,0.00275057,ASK,2022-10-18,03:58:52
27981000,0.01085579,ASK,2022-10-18,03:58:52
27981000,0.078204,ASK,2022-10-18,03:58:54
27981000,0.00137528,ASK,2022-10-18,03:58:57
27982000,0.22792992,BID,2022-10-18,03:58:57
27981000,0.04326367,ASK,2022-10-18,03:59:00
27981000,0.00865905,ASK,2022-10-18,03:59:00
27981000,0.00865905,ASK,2022-10-18,03:59:00
27981000,0.00867083,ASK,2022-10-18,03:59:00
