tp,tv,ab,td,ttm
1909500,0.01307908,BID,2022-10-18,03:54:09
1909500,2.61848651,BID,2022-10-18,03:54:12
1909000,2.05371783,BID,2022-10-18,03:54:43
1909000,0.16315295,ASK,2022-10-18,03:55:35
1910000,0.119,BID,2022-10-18,03:55:36
1910000,0.62651544,BID,2022-10-18,03:55:52
1910000,0.10471204,BID,2022-10-18,03:55:55
1910000,2.35484352,BID,2022-10-18,03:55:59
1909000,0.95,ASK,2022-10-18,03:56:17
1909000,0.015,ASK,2022-10-18,03:56:17
1909000,0.01047145,ASK,2022-10-18,03:56:17
1909000,0.03702933,ASK,2022-10-18,03:56:17
1909000,0.05235726,ASK,2022-10-18,03:56:17
1909000,0.14070771,ASK,2022-10-18,03:56:17
1908000,0.00775953,ASK,2022-10-18,03:56:17
1908000,0.01049737,ASK,2022-10-18,03:56:17
1908000,0.2620545,ASK,2022-10-18,03:56:17
1908000,0.1,BID,2022-10-18,03:56:40
1908000,0.0402,BID,2022-10-18,03:56:40
1907500,0.02204875,ASK,2022-10-18,03:56:41
1908000,0.01221091,BID,2022-10-18,03:56:57
1910000,0.1233,BID,2022-10-18,03:57:22
1910000,0.64139762,BID,2022-10-18,03:57:24
1910000,0.5,BID,2022-10-18,03:57:40
1910000,0.10007194,BID,2022-10-18,03:57:40
1910000,1.54326725,BID,2022-10-18,03:57:40
1910000,0.02718015,BID,2022-10-18,03:57:40
1910000,0.03355574,BID,2022-10-18,03:57:40
1910000,1.984,BID,2022-10-18,03:57:40
1910000,0.21036024,BID,2022-10-18,03:57:40
1910000,6.30052148,BID,2022-10-18,03:57:40
1910000,5,BID,2022-10-18,03:57:40
1910000,0.1073,BID,2022-10-18,03:57:41
1910000,0.9972,BID,2022-10-18,03:58:59
1910000,0.02446213,BID,2022-10-18,03:58:59
1910000,1,BID,2022-10-18,03:58:59
1910000,0.378,BID,2022-10-18,03:58:59
1910000,2.5,BID,2022-10-18,03:58:59
1910000,0.09196015,BID,2022-10-18,03:58:59
1910500,2.61140197,BID,2022-10-18,03:58:59
1910500,0.04142684,BID,2022-10-18,03:58:59
1910500,1.4293384,BID,2022-10-18,03:58:59
1910500,0.05348242,BID,2022-10-18,03:58:59
1910000,1,BID,2022-10-18,03:58:59
1910000,0.01081043,BID,2022-10-18,03:58:59
1910000,5.48957356,BID,2022-10-18,03:58:59
1910500,0.01,BID,2022-10-18,03:58:59
1910500,0.03020016,BID,2022-10-18,03:58:59
1910500,0.03,BID,2022-10-18,03:58:59
1909500,0.00261848,BID,2022-10-18,03:59:03
1910000,0.0052356,BID,2022-10-18,03:59:09
1910000,0.013089,BID,2022-10-18,03:59:31
1908500,0.13067435,ASK,2022-10-18,03:59:41
1908500,0.02135771,ASK,2022-10-18,03:59:41
1908000,0.26493488,ASK,2022-10-18,03:59:41
1908000,0.09948909,ASK,2022-10-18,03:59:41
1908000,0.1,ASK,2022-10-18,03:59:59
1908000,0.15917413,ASK,2022-10-18,04:00:00
1908000,0.01048218,ASK,2022-10-18,04:00:00
1908000,0.10528714,ASK,2022-10-18,04:00:00
1908000,0.69055416,ASK,2022-10-18,04:00:00
1908000,0.04421831,ASK,2022-10-18,04:00:00
1908000,0.01922594,ASK,2022-10-18,04:00:01
1908000,0.20528529,ASK,2022-10-18,04:00:01
1910000,0.01728424,BID,2022-10-18,04:00:11
1910000,0.5235602,BID,2022-10-18,04:00:24
1907500,0.03034969,ASK,2022-10-18,04:00:25
1907500,0.26212319,ASK,2022-10-18,04:00:25
1907500,0.00795952,ASK,2022-10-18,04:00:25
1908000,0.0524109,ASK,2022-10-18,04:00:25
1907500,0.00760157,ASK,2022-10-18,04:00:25
1907500,0.047221,ASK,2022-10-18,04:00:25
1908000,0.02697619,ASK,2022-10-18,04:00:37
1908000,0.26,ASK,2022-10-18,04:00:43
1908000,1.56141614,ASK,2022-10-18,04:01:21
1908000,0.1048218,BID,2022-10-18,04:01:32
1908000,2.56732692,BID,2022-10-18,04:01:35
1908000,0.21849662,BID,2022-10-18,04:01:41
1907500,0.22632283,ASK,2022-10-18,04:01:55
1907500,0.92212746,ASK,2022-10-18,04:01:55
1907500,0.00630243,ASK,2022-10-18,04:01:55
1908000,0.1189,BID,2022-10-18,04:01:57
1908000,0.1451,BID,2022-10-18,04:01:58
1908000,0.00667714,BID,2022-10-18,04:02:14
1908000,0.01284853,BID,2022-10-18,04:02:17
