ty,cd,tms,td,ttm,ttms,tp,tv,ab,pcp,c,cp,sid,st
trade,KRW-BTC,1665115469530,2022-10-07,04:04:29,1665115469488,28427000,0.10056448,BID,28418000.0,RISE,9000.0,1665115469488000,REALTIME
trade,KRW-BTC,1665115470636,2022-10-07,04:04:30,1665115470591,28427000,0.00105533,BID,28418000.0,RISE,9000.0,1665115470591000,REALTIME
trade,KRW-BTC,1665115471779,2022-10-07,04:04:31,1665115471733,28427000,0.00035174,BID,28418000.0,RISE,9000.0,1665115471733000,REALTIME
trade,KRW-BTC,1665115473387,2022-10-07,04:04:33,1665115473327,28426000,0.0006,ASK,28418000.0,RISE,8000.0,1665115473327000,REALTIME
trade,KRW-BTC,1665115473389,2022-10-07,04:04:33,1665115473327,28426000,0.00035179,ASK,28418000.0,RISE,8000.0,1665115473327001,REALTIME
trade,KRW-BTC,1665115473389,2022-10-07,04:04:33,1665115473327,28426000,0.03164533,ASK,28418000.0,RISE,8000.0,1665115473327002,REALTIME
trade,KRW-BTC,1665115476279,2022-10-07,04:04:36,1665115476185,28425000,0.00104275,ASK,28418000.0,RISE,7000.0,1665115476185000,REALTIME
trade,KRW-BTC,1665115476281,2022-10-07,04:04:36,1665115476185,28425000,0.00703264,ASK,28418000.0,RISE,7000.0,1665115476185001,REALTIME
trade,KRW-BTC,1665115476281,2022-10-07,04:04:36,1665115476185,28425000,0.0009,ASK,28418000.0,RISE,7000.0,1665115476185002,REALTIME
trade,KRW-BTC,1665115476281,2022-10-07,04:04:36,1665115476185,28425000,0.00342461,ASK,28418000.0,RISE,7000.0,1665115476185003,REALTIME
trade,KRW-BTC,1665115480669,2022-10-07,04:04:40,1665115480624,28426000,0.0035179,BID,28418000.0,RISE,8000.0,1665115480624000,REALTIME
trade,KRW-BTC,1665115483675,2022-10-07,04:04:43,1665115483623,28425000,8.99e-05,ASK,28418000.0,RISE,7000.0,1665115483623000,REALTIME
trade,KRW-BTC,1665115483676,2022-10-07,04:04:43,1665115483623,28425000,0.01024268,ASK,28418000.0,RISE,7000.0,1665115483623001,REALTIME
trade,KRW-BTC,1665115485475,2022-10-07,04:04:45,1665115485411,28425000,0.00824993,BID,28418000.0,RISE,7000.0,1665115485411000,REALTIME
trade,KRW-BTC,1665115488271,2022-10-07,04:04:48,1665115488187,28426000,0.24625657,BID,28418000.0,RISE,8000.0,1665115488187000,REALTIME
trade,KRW-BTC,1665115488272,2022-10-07,04:04:48,1665115488187,28427000,0.28087182,BID,28418000.0,RISE,9000.0,1665115488187001,REALTIME
trade,KRW-BTC,1665115488281,2022-10-07,04:04:48,1665115488187,28425000,0.00075766,BID,28418000.0,RISE,7000.0,1665115488187002,REALTIME
trade,KRW-BTC,1665115494754,2022-10-07,04:04:54,1665115494704,28425000,0.00351627,BID,28418000.0,RISE,7000.0,1665115494704000,REALTIME
trade,KRW-BTC,1665115496730,2022-10-07,04:04:56,1665115496685,28425000,0.0007036,BID,28418000.0,RISE,7000.0,1665115496685000,REALTIME
trade,KRW-BTC,1665115496820,2022-10-07,04:04:56,1665115496717,28420000,0.0009,ASK,28418000.0,RISE,2000.0,1665115496717000,REALTIME
trade,KRW-BTC,1665115496821,2022-10-07,04:04:56,1665115496717,28424000,0.0003,ASK,28418000.0,RISE,6000.0,1665115496717001,REALTIME
trade,KRW-BTC,1665115496821,2022-10-07,04:04:56,1665115496717,28424000,0.00113578,ASK,28418000.0,RISE,6000.0,1665115496717002,REALTIME
trade,KRW-BTC,1665115496821,2022-10-07,04:04:56,1665115496717,28419000,0.00035187,ASK,28418000.0,RISE,1000.0,1665115496717003,REALTIME
