tp,tv,ab,td,ttm
28390000,0.01196283,BID,2022-10-07,04:50:28
28388000,6.09e-05,BID,2022-10-07,04:50:28
28390000,0.00827627,BID,2022-10-07,04:50:28
28390000,0.0052,BID,2022-10-07,04:50:30
28388000,0.01008323,ASK,2022-10-07,04:50:31
28388000,0.09450656,ASK,2022-10-07,04:50:31
28390000,0.0056,BID,2022-10-07,04:50:32
28390000,0.00070452,BID,2022-10-07,04:50:32
28390000,0.0055,BID,2022-10-07,04:50:34
28390000,0.00017611,BID,2022-10-07,04:50:35
28390000,0.0049,BID,2022-10-07,04:50:36
28390000,0.01655708,BID,2022-10-07,04:50:36
28390000,0.00355458,BID,2022-10-07,04:50:37
28390000,0.0147,BID,2022-10-07,04:50:38
28390000,0.0389,BID,2022-10-07,04:50:40
28390000,0.0515,BID,2022-10-07,04:50:42
28390000,0.00470042,BID,2022-10-07,04:50:43
28390000,0.0034067,BID,2022-10-07,04:50:43
28390000,0.0541,BID,2022-10-07,04:50:44
28390000,0.00940956,BID,2022-10-07,04:50:45
28390000,0.00940962,BID,2022-10-07,04:50:45
28390000,0.0126,BID,2022-10-07,04:50:46
28390000,0.04502555,BID,2022-10-07,04:50:46
28390000,0.02544016,BID,2022-10-07,04:50:46
28390000,0.02005269,BID,2022-10-07,04:50:47
28390000,0.02271103,BID,2022-10-07,04:50:48
28390000,0.0126,BID,2022-10-07,04:50:48
28390000,0.01033878,BID,2022-10-07,04:50:49
28390000,0.00477392,BID,2022-10-07,04:50:50
28390000,0.03520606,BID,2022-10-07,04:50:50
28390000,0.0126,BID,2022-10-07,04:50:50
28390000,0.0048,BID,2022-10-07,04:50:52
28390000,0.00017964,BID,2022-10-07,04:50:52
28390000,0.00035223,BID,2022-10-07,04:50:54
28390000,0.00035223,BID,2022-10-07,04:50:58
28389000,0.00288809,ASK,2022-10-07,04:50:58
28389000,0.01308974,ASK,2022-10-07,04:50:58
28389000,0.00026197,ASK,2022-10-07,04:51:02
28390000,0.00140824,BID,2022-10-07,04:51:03
28389000,0.0694758,ASK,2022-10-07,04:51:04
28390000,0.05,BID,2022-10-07,04:51:07
28390000,0.0048,BID,2022-10-07,04:51:08
28390000,0.00070447,BID,2022-10-07,04:51:08
28390000,0.04118201,BID,2022-10-07,04:51:13
28390000,0.0372,BID,2022-10-07,04:51:20
28390000,0.0735,BID,2022-10-07,04:51:20
28390000,0.0478,BID,2022-10-07,04:51:23
28389000,0.02672962,ASK,2022-10-07,04:51:24
28389000,0.01407615,ASK,2022-10-07,04:51:25
28390000,0.00141088,BID,2022-10-07,04:51:30
28390000,0.22211706,BID,2022-10-07,04:51:31
28390000,0.00032502,BID,2022-10-07,04:51:31
28390000,0.12293177,BID,2022-10-07,04:51:31
28390000,0.0052,BID,2022-10-07,04:51:32
28390000,0.0158,BID,2022-10-07,04:51:34
28389000,0.00343896,ASK,2022-10-07,04:51:35
28390000,0.00328836,BID,2022-10-07,04:51:43
28390000,0.00571164,BID,2022-10-07,04:51:43
28389000,0.0001786,ASK,2022-10-07,04:51:45
28389000,0.00035207,ASK,2022-10-07,04:51:45
28389000,0.04905231,ASK,2022-10-07,04:51:45
28389000,0.02097122,ASK,2022-10-07,04:51:45
28389000,0.02707613,ASK,2022-10-07,04:51:45
28388000,0.0704523,ASK,2022-10-07,04:51:47
28388000,0.03522242,ASK,2022-10-07,04:51:47
28389000,0.00352073,ASK,2022-10-07,04:51:47
28388000,0.00035226,ASK,2022-10-07,04:51:47
28389000,0.00084289,ASK,2022-10-07,04:51:47
28388000,0.1385788,ASK,2022-10-07,04:51:47
28387000,0.07045478,ASK,2022-10-07,04:51:47
28387000,0.04757987,ASK,2022-10-07,04:51:47
28390000,0.01406158,BID,2022-10-07,04:51:47
28390000,0.02,BID,2022-10-07,04:51:52
28390000,0.01022678,BID,2022-10-07,04:51:55
28390000,0.007,BID,2022-10-07,04:51:55
28390000,0.02203328,BID,2022-10-07,04:51:55
28390000,0.00541642,BID,2022-10-07,04:51:55
28390000,0.0201464,BID,2022-10-07,04:52:03
28390000,0.00555627,BID,2022-10-07,04:52:03
28390000,0.0017685,BID,2022-10-07,04:52:03
28395000,0.06815113,BID,2022-10-07,04:52:03
28390000,0.00070448,BID,2022-10-07,04:52:03
28390000,0.01488428,BID,2022-10-07,04:52:03
28387000,0.00083521,ASK,2022-10-07,04:52:03
28395000,0.10237996,BID,2022-10-07,04:52:03
28387000,0.00470839,ASK,2022-10-07,04:52:06
28387000,0.00352097,ASK,2022-10-07,04:52:06
28387000,0.00035227,ASK,2022-10-07,04:52:06
28387000,0.00865355,ASK,2022-10-07,04:52:06
28387000,0.15021967,BID,2022-10-07,04:52:07
28387000,0.0105671,BID,2022-10-07,04:52:10
28387000,0.00035212,BID,2022-10-07,04:52:15
28387000,0.00035223,BID,2022-10-07,04:52:17
28387000,0.01,BID,2022-10-07,04:52:19
28387000,0.00035227,BID,2022-10-07,04:52:19
28387000,0.00070454,BID,2022-10-07,04:52:20
28387000,0.01313884,BID,2022-10-07,04:52:20
28387000,0.000238,BID,2022-10-07,04:52:20
28387000,0.02455008,BID,2022-10-07,04:52:20
28387000,0.00021192,BID,2022-10-07,04:52:20
28387000,0.00249,BID,2022-10-07,04:52:22
28387000,0.00992916,BID,2022-10-07,04:52:22
28387000,0.01,BID,2022-10-07,04:52:22
28387000,0.00567035,BID,2022-10-07,04:52:24
28387000,0.00567035,BID,2022-10-07,04:52:24
28387000,0.0048,BID,2022-10-07,04:52:24
28395000,0.00362542,BID,2022-10-07,04:52:25
